station,scenario,scenario_note,n_years_used,year_range_used,cv_folds,model,can_extrapolate_trend,rmse_mm_mean,rmse_mm_std,mae_mm_mean,mae_mm_std,r2_mean,r2_std,prediction_2100_m,change_vs_last_observed_mm
Sines,recent_period,"Restricted to year >= 1993 — the same cutoff already used in 13a_sealevel_regression.py, not a new one chosen here.",26,1997-2022,5,Lasso Regression,True,54.7,9.4,52.1,9.5,-22.529,20.238,7.128,-63.0
Sines,recent_period,"Restricted to year >= 1993 — the same cutoff already used in 13a_sealevel_regression.py, not a new one chosen here.",26,1997-2022,5,K-Nearest Neighbors,False,33.3,16.8,29.3,17.2,-15.235,27.465,7.176,-15.1
Sines,recent_period,"Restricted to year >= 1993 — the same cutoff already used in 13a_sealevel_regression.py, not a new one chosen here.",26,1997-2022,5,Decision Tree,False,28.9,16.1,25.7,14.6,-4.761,6.7,7.191,0.0
Sines,recent_period,"Restricted to year >= 1993 — the same cutoff already used in 13a_sealevel_regression.py, not a new one chosen here.",26,1997-2022,5,Random Forest,False,31.0,12.4,27.1,11.1,-8.005,13.113,7.186,-4.4
Sines,recent_period,"Restricted to year >= 1993 — the same cutoff already used in 13a_sealevel_regression.py, not a new one chosen here.",26,1997-2022,5,Gradient Boosting,False,29.0,16.0,25.8,14.5,-4.772,6.705,7.19,-0.4
Sines,recent_period,"Restricted to year >= 1993 — the same cutoff already used in 13a_sealevel_regression.py, not a new one chosen here.",26,1997-2022,5,Support Vector Regression,True,36.1,21.8,33.8,22.1,-22.647,40.504,7.56,369.5
Sines,recent_period,"Restricted to year >= 1993 — the same cutoff already used in 13a_sealevel_regression.py, not a new one chosen here.",26,1997-2022,5,Gaussian Process Regression,True,35.6,21.5,31.9,20.2,-13.158,23.106,7.563,371.9
Sines,short_term_recent,"Most recent 15 years only (2008-2022). CAUTION: a trend fit on this few years is a much weaker basis for an 80-year extrapolation to 2100 than the full record — included because it was requested, not because it is the most defensible scenario.",15,2008-2022,3,Linear Regression,True,17.2,2.6,16.1,2.6,-6.635,2.116,7.428,237.3
Sines,short_term_recent,"Most recent 15 years only (2008-2022). CAUTION: a trend fit on this few years is a much weaker basis for an 80-year extrapolation to 2100 than the full record — included because it was requested, not because it is the most defensible scenario.",15,2008-2022,3,Ridge Regression,True,17.4,2.4,16.2,2.6,-6.985,2.859,7.411,220.3
Sines,short_term_recent,"Most recent 15 years only (2008-2022). CAUTION: a trend fit on this few years is a much weaker basis for an 80-year extrapolation to 2100 than the full record — included because it was requested, not because it is the most defensible scenario.",15,2008-2022,3,Lasso Regression,True,21.2,9.2,20.2,9.6,-14.909,13.566,7.156,-34.4
Sines,short_term_recent,"Most recent 15 years only (2008-2022). CAUTION: a trend fit on this few years is a much weaker basis for an 80-year extrapolation to 2100 than the full record — included because it was requested, not because it is the most defensible scenario.",15,2008-2022,3,K-Nearest Neighbors,False,19.6,7.8,19.1,7.6,-12.756,8.864,7.176,-15.1
Sines,short_term_recent,"Most recent 15 years only (2008-2022). CAUTION: a trend fit on this few years is a much weaker basis for an 80-year extrapolation to 2100 than the full record — included because it was requested, not because it is the most defensible scenario.",15,2008-2022,3,Decision Tree,False,14.2,7.5,12.6,8.3,-6.258,7.713,7.191,0.0
Sines,short_term_recent,"Most recent 15 years only (2008-2022). CAUTION: a trend fit on this few years is a much weaker basis for an 80-year extrapolation to 2100 than the full record — included because it was requested, not because it is the most defensible scenario.",15,2008-2022,3,Random Forest,False,17.4,4.9,16.1,5.1,-7.23,4.753,7.186,-4.6
Sines,short_term_recent,"Most recent 15 years only (2008-2022). CAUTION: a trend fit on this few years is a much weaker basis for an 80-year extrapolation to 2100 than the full record — included because it was requested, not because it is the most defensible scenario.",15,2008-2022,3,Gradient Boosting,False,14.2,7.5,12.6,8.3,-6.261,7.711,7.191,-0.1
Sines,short_term_recent,"Most recent 15 years only (2008-2022). CAUTION: a trend fit on this few years is a much weaker basis for an 80-year extrapolation to 2100 than the full record — included because it was requested, not because it is the most defensible scenario.",15,2008-2022,3,Support Vector Regression,True,15.8,6.6,15.1,6.5,-7.697,7.076,7.45,259.5
Sines,short_term_recent,"Most recent 15 years only (2008-2022). CAUTION: a trend fit on this few years is a much weaker basis for an 80-year extrapolation to 2100 than the full record — included because it was requested, not because it is the most defensible scenario.",15,2008-2022,3,Gaussian Process Regression,True,19.9,10.1,18.2,10.9,-13.949,14.171,7.396,205.5
Sines,fold_count_check,"Same data as full_record, but 3 CV folds instead of 5, to check whether the fold count itself changes the conclusion (not a different dataset at all).",39,1977-2022,3,Linear Regression,True,35.9,13.7,29.8,12.5,-1.542,1.209,7.43,238.8
Sines,fold_count_check,"Same data as full_record, but 3 CV folds instead of 5, to check whether the fold count itself changes the conclusion (not a different dataset at all).",39,1977-2022,3,Ridge Regression,True,37.0,13.4,31.0,12.4,-1.74,1.228,7.421,230.6
Sines,fold_count_check,"Same data as full_record, but 3 CV folds instead of 5, to check whether the fold count itself changes the conclusion (not a different dataset at all).",39,1977-2022,3,Lasso Regression,True,67.3,21.4,61.9,25.3,-13.994,13.515,7.102,-89.1
Sines,fold_count_check,"Same data as full_record, but 3 CV folds instead of 5, to check whether the fold count itself changes the conclusion (not a different dataset at all).",39,1977-2022,3,K-Nearest Neighbors,False,38.9,13.7,32.1,13.2,-2.029,1.296,7.176,-15.1
Sines,fold_count_check,"Same data as full_record, but 3 CV folds instead of 5, to check whether the fold count itself changes the conclusion (not a different dataset at all).",39,1977-2022,3,Decision Tree,False,29.6,2.0,23.6,0.2,-1.026,0.991,7.191,0.0
Sines,fold_count_check,"Same data as full_record, but 3 CV folds instead of 5, to check whether the fold count itself changes the conclusion (not a different dataset at all).",39,1977-2022,3,Random Forest,False,33.2,2.3,27.8,3.1,-1.905,2.051,7.187,-4.1
Sines,fold_count_check,"Same data as full_record, but 3 CV folds instead of 5, to check whether the fold count itself changes the conclusion (not a different dataset at all).",39,1977-2022,3,Gradient Boosting,False,30.0,1.7,23.9,0.1,-1.105,1.086,7.19,-0.9
Sines,fold_count_check,"Same data as full_record, but 3 CV folds instead of 5, to check whether the fold count itself changes the conclusion (not a different dataset at all).",39,1977-2022,3,Support Vector Regression,True,39.0,24.2,34.4,23.7,-2.321,3.139,7.456,265.6
Sines,fold_count_check,"Same data as full_record, but 3 CV folds instead of 5, to check whether the fold count itself changes the conclusion (not a different dataset at all).",39,1977-2022,3,Gaussian Process Regression,True,40.9,11.9,34.3,10.8,-2.484,1.289,7.414,223.3
