idx,lat,lon,elev_m,below_threshold,flood_zone,zone_notes
15,37.018572,-7.939879,3.587,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
16,37.018211,-7.939544,4.054,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
17,37.017848,-7.939212,4.674,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
18,37.017477,-7.938894,4.376,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
19,37.017085,-7.938617,3.891,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
20,37.01668,-7.938372,3.5,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
21,37.016276,-7.938125,3.009,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
22,37.015872,-7.937879,2.972,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
23,37.015467,-7.937635,2.341,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
24,37.015062,-7.93739,2.551,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
25,37.014656,-7.937146,2.936,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
26,37.014253,-7.936898,2.902,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
27,37.01385,-7.936649,2.672,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
28,37.013444,-7.936407,2.818,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
29,37.013038,-7.936163,2.966,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
30,37.012636,-7.935911,4.019,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
31,37.012251,-7.935623,4.218,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
32,37.0119,-7.935271,4.719,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
33,37.011599,-7.934855,5.36,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
34,37.011353,-7.934384,5.636,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
35,37.011172,-7.93387,5.293,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
36,37.011065,-7.932206,3.11,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
37,37.011175,-7.93166,2.498,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
38,37.01136,-7.931148,3.014,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
39,37.011611,-7.930682,4.117,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
40,37.011898,-7.930248,4.663,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
41,37.012189,-7.929819,5.418,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
42,37.01245,-7.929361,6.122,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
43,37.012658,-7.928863,6.416,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
44,37.0128,-7.928329,6.704,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
45,37.012899,-7.92778,7.008,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
46,37.01299,-7.927229,7.283,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
47,37.013078,-7.926676,7.262,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
48,37.01317,-7.926125,7.355,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
49,37.013259,-7.925573,7.824,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
50,37.013347,-7.925021,8.947,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
51,37.013435,-7.924469,10.241,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
52,37.013524,-7.923917,10.882,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
53,37.013612,-7.923365,11.156,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
54,37.013701,-7.922812,11.204,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
55,37.013792,-7.922261,12.525,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
56,37.013884,-7.92171,13.567,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
57,37.013976,-7.921159,13.434,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
58,37.014066,-7.920607,13.702,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
59,37.014156,-7.920055,13.313,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
60,37.014245,-7.919503,12.905,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
61,37.014334,-7.918951,12.588,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
62,37.014424,-7.918399,12.773,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
63,37.014513,-7.917847,13.752,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
64,37.014607,-7.917297,14.568,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
65,37.014727,-7.916754,14.767,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
66,37.014906,-7.916238,13.94,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
67,37.015128,-7.915749,11.788,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
68,37.015402,-7.915303,9.166,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
69,37.015714,-7.914898,7.774,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
70,37.016068,-7.914551,8.256,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
71,37.016434,-7.914224,8.738,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
72,37.016804,-7.913904,8.42,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
73,37.017174,-7.913583,8.337,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
74,37.017543,-7.913263,7.773,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
75,37.017913,-7.912943,7.227,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
76,37.018284,-7.912624,6.879,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
77,37.018656,-7.912307,6.731,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
78,37.019027,-7.911989,6.107,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
79,37.019398,-7.911672,5.655,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
80,37.019751,-7.911323,5.711,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
81,37.02008,-7.910939,6.081,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
82,37.020361,-7.910501,6.31,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
83,37.020587,-7.910014,5.783,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
84,37.020769,-7.909499,4.942,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
85,37.020943,-7.90898,4.471,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
86,37.021118,-7.908461,4.328,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
87,37.021292,-7.907942,4.487,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
88,37.021467,-7.907423,4.689,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
89,37.021641,-7.906904,4.698,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
90,37.021815,-7.906385,4.29,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
91,37.02199,-7.905865,3.872,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
92,37.022164,-7.905346,4.096,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
93,37.022337,-7.904826,4.591,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
94,37.0225,-7.904301,4.886,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
95,37.022624,-7.903761,5.143,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
96,37.022733,-7.903214,5.201,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
97,37.022836,-7.902666,5.179,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
98,37.022938,-7.902117,4.857,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
99,37.023041,-7.901569,4.262,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
100,37.023144,-7.901021,3.928,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
101,37.023247,-7.900473,3.594,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
102,37.02335,-7.899924,3.308,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
103,37.02345,-7.899375,3.586,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
104,37.02355,-7.898826,4.165,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
105,37.02365,-7.898277,4.951,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
106,37.02375,-7.897728,4.91,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
107,37.023851,-7.897179,4.721,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
108,37.023949,-7.89663,4.671,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
109,37.024048,-7.89608,4.71,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
110,37.024147,-7.895531,4.639,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
111,37.024247,-7.894982,4.51,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
112,37.024349,-7.894433,4.706,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
113,37.024452,-7.893885,4.795,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
114,37.024555,-7.893337,5.0,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
115,37.024658,-7.892788,4.997,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
116,37.024761,-7.89224,4.628,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
117,37.024864,-7.891692,4.031,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
118,37.024967,-7.891144,4.274,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
119,37.02507,-7.890595,4.933,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
120,37.025172,-7.890047,5.136,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
121,37.025275,-7.889499,5.476,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
122,37.025378,-7.88895,5.751,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
123,37.025481,-7.888402,5.17,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
124,37.025584,-7.887854,5.247,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
125,37.025686,-7.887305,5.566,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
126,37.025788,-7.886757,5.411,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
127,37.02589,-7.886208,4.944,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
128,37.025991,-7.885659,4.876,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
129,37.026093,-7.885111,5.409,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
130,37.026195,-7.884562,6.262,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
131,37.026295,-7.884013,6.716,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
132,37.026398,-7.883465,6.572,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
133,37.0265,-7.882916,6.173,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
134,37.026602,-7.882368,5.93,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
135,37.026705,-7.881819,5.73,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
136,37.026807,-7.881271,5.84,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
137,37.026909,-7.880723,6.032,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
138,37.027012,-7.880174,5.349,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
139,37.027114,-7.879626,5.291,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
140,37.027217,-7.879077,6.3,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
141,37.027304,-7.878525,6.126,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
142,37.027362,-7.877967,5.556,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
143,37.027385,-7.877405,5.009,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
144,37.027355,-7.876843,4.885,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
145,37.027324,-7.876281,5.213,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
146,37.027293,-7.875719,5.484,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
147,37.027261,-7.875157,5.314,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
148,37.027229,-7.874595,4.771,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
149,37.027197,-7.874034,4.44,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
150,37.027162,-7.873472,4.596,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
151,37.027126,-7.872911,4.66,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
152,37.02709,-7.872349,4.487,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
153,37.027054,-7.871788,4.624,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
154,37.027018,-7.871226,4.23,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
155,37.026982,-7.870665,3.511,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
156,37.026947,-7.870103,3.948,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
157,37.026911,-7.869542,4.403,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
158,37.026875,-7.868981,4.669,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
159,37.026839,-7.868419,4.583,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
160,37.026803,-7.867858,4.556,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
161,37.026767,-7.867296,4.534,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
162,37.026731,-7.866735,4.034,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
163,37.026695,-7.866173,4.43,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
164,37.026659,-7.865612,5.218,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
165,37.026624,-7.86505,4.812,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
166,37.026588,-7.864489,3.583,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
