idx,lat,lon,elev_m,below_threshold,flood_zone,zone_notes
27,37.145691,-8.544985,15.082,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
28,37.145667,-8.544422,14.655,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
29,37.145642,-8.543859,13.119,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
30,37.145617,-8.543296,11.773,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
31,37.145589,-8.542733,11.118,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
32,37.145547,-8.542171,11.665,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
33,37.145481,-8.541613,12.536,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
34,37.145378,-8.541064,12.354,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
35,37.145272,-8.540516,11.006,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
36,37.145164,-8.539969,9.54,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37,37.145055,-8.539421,7.833,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
38,37.144946,-8.538874,6.303,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
39,37.144837,-8.538327,6.159,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
40,37.144729,-8.537779,5.405,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
41,37.14462,-8.537232,4.789,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
42,37.144513,-8.536684,4.903,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
43,37.144405,-8.536136,4.241,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
44,37.144297,-8.535589,3.39,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
45,37.144189,-8.535041,3.095,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
46,37.144082,-8.534493,2.764,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
47,37.143974,-8.533945,2.151,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
48,37.143867,-8.533398,1.287,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
49,37.143751,-8.532853,1.596,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
50,37.143592,-8.532326,2.421,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
51,37.143369,-8.531837,2.769,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
52,37.143084,-8.531402,2.685,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
53,37.142757,-8.531015,2.457,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
54,37.142413,-8.530651,2.211,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
55,37.142068,-8.530289,0.62,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
56,37.138662,-8.526607,4.24,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
57,37.13833,-8.526226,5.094,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
58,37.138041,-8.525795,5.149,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
59,37.137813,-8.52531,4.729,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
60,37.137652,-8.524784,3.859,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
61,37.137565,-8.524232,2.799,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
62,37.137554,-8.523669,1.469,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
63,37.137619,-8.523111,0.585,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
64,37.137749,-8.522572,0.876,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
65,37.1379,-8.522041,1.391,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
66,37.138061,-8.521514,2.099,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
67,37.138217,-8.520985,2.07,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
68,37.138372,-8.520455,2.78,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
69,37.138526,-8.519926,3.791,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
70,37.138681,-8.519396,4.154,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
71,37.138835,-8.518866,4.289,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
72,37.138988,-8.518336,4.524,True,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
73,37.139141,-8.517805,5.706,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
74,37.139295,-8.517275,6.97,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
75,37.139448,-8.516745,7.318,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
76,37.139601,-8.516215,6.917,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
77,37.139755,-8.515684,6.162,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
78,37.139909,-8.515155,5.831,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
79,37.140063,-8.514625,5.49,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
80,37.140217,-8.514095,5.499,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
81,37.140371,-8.513565,7.348,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
82,37.140525,-8.513035,9.294,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
83,37.14068,-8.512505,9.815,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
84,37.140837,-8.511976,9.447,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
85,37.140994,-8.511448,8.51,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
86,37.141148,-8.510918,9.455,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
87,37.141296,-8.510386,10.874,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
88,37.141436,-8.509849,11.73,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
89,37.141561,-8.509308,12.518,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
90,37.141672,-8.508761,13.335,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
91,37.141777,-8.508213,14.246,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
92,37.141848,-8.507656,14.803,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
93,37.141905,-8.507096,13.973,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
94,37.141952,-8.506535,12.871,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
95,37.142001,-8.505975,12.175,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
96,37.14205,-8.505414,12.29,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
97,37.142094,-8.504852,12.672,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
98,37.142137,-8.504291,11.929,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
99,37.142179,-8.503729,11.965,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
100,37.142222,-8.503168,13.268,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
101,37.142261,-8.502606,15.055,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
102,37.142283,-8.502043,16.742,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
103,37.142245,-8.501481,17.63,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
104,37.142138,-8.500934,17.581,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
105,37.141967,-8.500413,17.562,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
106,37.141756,-8.499915,18.282,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
107,37.141529,-8.499428,19.356,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
108,37.141325,-8.498926,20.479,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
109,37.141172,-8.498396,21.833,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
110,37.141095,-8.497841,23.508,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
111,37.141097,-8.497278,24.517,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
112,37.141169,-8.496723,23.52,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
113,37.141312,-8.496189,22.394,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
114,37.141528,-8.495695,21.141,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
115,37.141799,-8.495246,20.18,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
116,37.142085,-8.494811,19.608,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
117,37.142374,-8.494378,17.929,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
118,37.142662,-8.493945,17.167,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
119,37.142919,-8.493483,18.306,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
120,37.14313,-8.492985,19.831,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
121,37.143294,-8.49246,20.176,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
122,37.143393,-8.491911,18.786,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
123,37.143441,-8.49135,17.576,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
124,37.143445,-8.490786,17.471,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
125,37.143447,-8.490222,17.924,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
126,37.143442,-8.489658,19.001,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
127,37.143434,-8.489094,20.253,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
128,37.143445,-8.48853,17.789,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
129,37.143448,-8.487966,16.673,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
130,37.14344,-8.487402,17.237,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
131,37.143431,-8.486838,17.459,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
132,37.14343,-8.486274,18.852,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
133,37.143428,-8.48571,18.547,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
134,37.143429,-8.485146,16.448,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
135,37.143432,-8.484582,15.192,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
136,37.143437,-8.484018,14.809,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
137,37.143482,-8.483457,15.347,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
138,37.143597,-8.482912,16.682,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
139,37.143765,-8.482389,18.531,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
140,37.143946,-8.481873,19.934,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
141,37.14413,-8.481358,20.389,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
142,37.144314,-8.480843,20.09,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
143,37.144498,-8.480329,20.441,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
144,37.144682,-8.479814,20.538,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
145,37.144877,-8.479306,20.564,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
146,37.145083,-8.478805,21.598,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
147,37.145289,-8.478304,23.667,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
148,37.145496,-8.477802,26.058,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
149,37.145702,-8.477301,27.364,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
150,37.145911,-8.476802,27.832,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
151,37.14612,-8.476302,26.544,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
152,37.14633,-8.475803,25.356,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
153,37.146539,-8.475304,25.795,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
154,37.146742,-8.474801,27.423,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
155,37.146945,-8.474297,29.11,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
156,37.147148,-8.473794,30.563,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
157,37.147351,-8.47329,31.17,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
158,37.147569,-8.472798,32.846,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
159,37.147812,-8.472324,34.43,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
160,37.148131,-8.471927,34.184,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
161,37.148546,-8.471817,30.682,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
162,37.148995,-8.471812,27.669,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
163,37.149445,-8.471807,25.778,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
164,37.149895,-8.471802,25.569,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
165,37.150344,-8.471797,27.041,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
166,37.150794,-8.471792,28.894,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
167,37.151244,-8.471787,30.581,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
168,37.151693,-8.471782,31.279,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
169,37.152143,-8.471776,32.469,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
170,37.152593,-8.471771,34.082,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
171,37.153042,-8.471766,34.906,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
172,37.153492,-8.471761,37.204,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
173,37.153578,-8.471744,37.799,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
174,37.153129,-8.471709,35.644,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
175,37.153261,-8.471695,36.286,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
176,37.153711,-8.471694,38.813,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
177,37.154161,-8.471693,42.526,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
178,37.154607,-8.471654,45.083,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
179,37.154798,-8.471554,45.633,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
180,37.154348,-8.471545,43.342,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
181,37.153899,-8.471536,40.492,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
182,37.153449,-8.471527,37.913,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
183,37.153,-8.471518,36.476,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
184,37.15255,-8.47151,35.839,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
185,37.152135,-8.471501,34.2,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
186,37.152585,-8.471496,36.01,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
187,37.153034,-8.471491,36.739,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
188,37.153484,-8.471487,38.214,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
189,37.153934,-8.471482,40.778,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
190,37.154383,-8.471477,43.36,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
191,37.154833,-8.471473,45.464,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
192,37.154992,-8.471469,46.217,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
193,37.154543,-8.471467,44.12,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
194,37.154093,-8.471466,41.752,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
195,37.153643,-8.471464,39.097,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
196,37.153194,-8.471463,37.252,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
197,37.152744,-8.471461,36.57,False,Portimão Station Approaches,Urban approaches to Portimão station east of the Arade; coastal urban area at mouth of estuary
