option,option_type,scenario,variant,cost_case,invest_eur,breakeven_year,note
Option 2: Tidal Flood Gates + Pumping Station,slr_buffer,SSP2-4.5,+Geoid,Low,28000000,2036,Active tidal gate at lowest approach point; effective SLR buffer +0.40m
Option 2: Tidal Flood Gates + Pumping Station,slr_buffer,SSP2-4.5,+Geoid,Mid,42000000,2040,Active tidal gate at lowest approach point; effective SLR buffer +0.40m
Option 2: Tidal Flood Gates + Pumping Station,slr_buffer,SSP2-4.5,+Geoid,High,60000000,2043,Active tidal gate at lowest approach point; effective SLR buffer +0.40m
Option 2: Tidal Flood Gates + Pumping Station,slr_buffer,SSP5-8.5,Baseline,Low,28000000,2043,Active tidal gate at lowest approach point; effective SLR buffer +0.40m
Option 2: Tidal Flood Gates + Pumping Station,slr_buffer,SSP5-8.5,Baseline,Mid,42000000,2047,Active tidal gate at lowest approach point; effective SLR buffer +0.40m
Option 2: Tidal Flood Gates + Pumping Station,slr_buffer,SSP5-8.5,Baseline,High,60000000,2050,Active tidal gate at lowest approach point; effective SLR buffer +0.40m
Option 2: Tidal Flood Gates + Pumping Station,slr_buffer,SSP5-8.5,+Geoid,Low,28000000,2034,Active tidal gate at lowest approach point; effective SLR buffer +0.40m
Option 2: Tidal Flood Gates + Pumping Station,slr_buffer,SSP5-8.5,+Geoid,Mid,42000000,2037,Active tidal gate at lowest approach point; effective SLR buffer +0.40m
Option 2: Tidal Flood Gates + Pumping Station,slr_buffer,SSP5-8.5,+Geoid,High,60000000,2040,Active tidal gate at lowest approach point; effective SLR buffer +0.40m
Option 3: Dynamic Traffic Management Protocol,duration_reduction,SSP1-2.6,Baseline,Low,3000000,2036,Pre-emptive VMS/app diversion before road floods; does NOT reduce flood frequency — reduces closure duration per event by 50%
Option 3: Dynamic Traffic Management Protocol,duration_reduction,SSP1-2.6,Baseline,Mid,8000000,2047,Pre-emptive VMS/app diversion before road floods; does NOT reduce flood frequency — reduces closure duration per event by 50%
Option 3: Dynamic Traffic Management Protocol,duration_reduction,SSP1-2.6,Baseline,High,15000000,2057,Pre-emptive VMS/app diversion before road floods; does NOT reduce flood frequency — reduces closure duration per event by 50%
Option 3: Dynamic Traffic Management Protocol,duration_reduction,SSP1-2.6,+Geoid,Low,3000000,2028,Pre-emptive VMS/app diversion before road floods; does NOT reduce flood frequency — reduces closure duration per event by 50%
Option 3: Dynamic Traffic Management Protocol,duration_reduction,SSP1-2.6,+Geoid,Mid,8000000,2034,Pre-emptive VMS/app diversion before road floods; does NOT reduce flood frequency — reduces closure duration per event by 50%
Option 3: Dynamic Traffic Management Protocol,duration_reduction,SSP1-2.6,+Geoid,High,15000000,2040,Pre-emptive VMS/app diversion before road floods; does NOT reduce flood frequency — reduces closure duration per event by 50%
Option 3: Dynamic Traffic Management Protocol,duration_reduction,SSP2-4.5,Baseline,Low,3000000,2034,Pre-emptive VMS/app diversion before road floods; does NOT reduce flood frequency — reduces closure duration per event by 50%
Option 3: Dynamic Traffic Management Protocol,duration_reduction,SSP2-4.5,Baseline,Mid,8000000,2042,Pre-emptive VMS/app diversion before road floods; does NOT reduce flood frequency — reduces closure duration per event by 50%
Option 3: Dynamic Traffic Management Protocol,duration_reduction,SSP2-4.5,Baseline,High,15000000,2049,Pre-emptive VMS/app diversion before road floods; does NOT reduce flood frequency — reduces closure duration per event by 50%
Option 3: Dynamic Traffic Management Protocol,duration_reduction,SSP2-4.5,+Geoid,Low,3000000,2028,Pre-emptive VMS/app diversion before road floods; does NOT reduce flood frequency — reduces closure duration per event by 50%
Option 3: Dynamic Traffic Management Protocol,duration_reduction,SSP2-4.5,+Geoid,Mid,8000000,2032,Pre-emptive VMS/app diversion before road floods; does NOT reduce flood frequency — reduces closure duration per event by 50%
Option 3: Dynamic Traffic Management Protocol,duration_reduction,SSP2-4.5,+Geoid,High,15000000,2037,Pre-emptive VMS/app diversion before road floods; does NOT reduce flood frequency — reduces closure duration per event by 50%
Option 3: Dynamic Traffic Management Protocol,duration_reduction,SSP5-8.5,Baseline,Low,3000000,2033,Pre-emptive VMS/app diversion before road floods; does NOT reduce flood frequency — reduces closure duration per event by 50%
Option 3: Dynamic Traffic Management Protocol,duration_reduction,SSP5-8.5,Baseline,Mid,8000000,2039,Pre-emptive VMS/app diversion before road floods; does NOT reduce flood frequency — reduces closure duration per event by 50%
Option 3: Dynamic Traffic Management Protocol,duration_reduction,SSP5-8.5,Baseline,High,15000000,2044,Pre-emptive VMS/app diversion before road floods; does NOT reduce flood frequency — reduces closure duration per event by 50%
Option 3: Dynamic Traffic Management Protocol,duration_reduction,SSP5-8.5,+Geoid,Low,3000000,2027,Pre-emptive VMS/app diversion before road floods; does NOT reduce flood frequency — reduces closure duration per event by 50%
Option 3: Dynamic Traffic Management Protocol,duration_reduction,SSP5-8.5,+Geoid,Mid,8000000,2031,Pre-emptive VMS/app diversion before road floods; does NOT reduce flood frequency — reduces closure duration per event by 50%
Option 3: Dynamic Traffic Management Protocol,duration_reduction,SSP5-8.5,+Geoid,High,15000000,2035,Pre-emptive VMS/app diversion before road floods; does NOT reduce flood frequency — reduces closure duration per event by 50%
